rate,client_name,company_type
5.0,ТОП Финтех,ТОП Финтех
4.9,ТОП IT,ТОП IT
4.8,ТОП Телеком,ТОП Телеком
3.7,X5 Group,Ретейл
4.2,Черкизово,Продукты питания
2.0,BIOCAD,Биотех
3.9,Hoff,Ретейл
3.8,Яндекс Райдтех,ТОП IT
4.1,Крок,ТОП IT
2.0,Nebius,ТОП IT
4.5,Click2Money,ТОП Финтех
0.0,Pay365,ТОП Финтех
4.2,OZON,ТОП eCOM
3.7,РСХБ,ТОП Финтех
3.7,Хеликон,Биотех
4.3,Cloud.ru,ТОП IT
4.2,Самолёт,Девелопмент
3.8,Яндекс Маркет,ТОП eCOM
3.8,Яндекс.Cloud,ТОП IT
4.5,ТОП eCOM,ТОП eCOM
4.4,IVI,ТОП IT
4.3,Banki.ru,ТОП IT
2.0,585 RPO,Ювелриные изделия
3.4,Сбер Еаптека,ТОП eCOM
4.0,Информзащита,Инфобез
0.0,Казино NDA,ТОП IT
2.0,Onpoint,ТОП IT
2.0,Food Rocket,Логистика
2.0,Hawex,ТОП Финтех
2.0,Loymax,ТОП IT
4.5,EggHead,ТОП IT
3.8,Брусника,Девелопмент
2.0,Amdocs,ТОП IT
0.0,ЮЛаки,ТОП IT
3.8,Fun&Sun,Логистика
2.0,nil.foundation,ТОП IT
2.0,Brand Analytics,ТОП IT
4.0,М.Видео,Ретейл
3.5,Equifax,ТОП Финтех
3.8,Mercury,Ювелирные изделия
0.0,Прочее,Прочее
4.0,МТС Банк (Аутсорс),ТОП Финтех
4.0,МТС (Аутсорс),ТОП Телеком
3.9,Хантфлоу,ТОП IT
3.5,Papa John's,Продукты питания
4.5,Национальная Лотерея,Лотерея
3.9,ЛитРес,ТОП IT
4.2,InDrive,Логистика
3.7,Просвещение,Медиа
4.3,Совкомбанк,ТОП Финтех
4.7,Национальная Медиа Группа (МСБ),Медиа
3.0,ЦБ РФ,ТОП Финтех
4.4,SRG Group,ТОП Финтех
2.0,Этнамед,Медицина
4.6,Usetech,ТОП IT
3.9,Яндекс. Такси,Логистика
2.0,АО Азот-Взрыв,Промышленность
2.5,Glue up,Медицина
4.7,PIM Solutions,ТОП IT
3.9,Metaship,Логистика
3.7,Sitronics,ТОП IT
3.8,4 Лапы,Ретейл
3.7,Ингосстрах,Страхование
4.0,Nestle,Продукты питания
4.1,Auxo,ТОП IT
2.0,Айтуби,ТОП IT
4.0,Sunlight,Ювелирные изделия
4.2,Air Liquide,Промышленность
4.4,Т2,ТОП Телеком
4.3,Яндекс Академия,ТОП IT
